epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2518.11,1.54481,1.30946,1.30889,0.58559,0.55879,0.5765,0.28356,1.9719,1.21343,1.30849,0.00333261,0.00333261,0.00333261
2,2507.01,1.43875,0.86555,1.24788,0.71901,0.64155,0.67315,0.33098,1.88651,1.044,1.26353,0.00653396,0.00653396,0.00653396
3,2773.71,1.47533,0.91645,1.28829,0.72956,0.6368,0.67506,0.32795,1.89195,1.06352,1.27596,0.00960331,0.00960331,0.00960331
4,5543.36,1.4725,0.90448,1.30308,0.70145,0.65575,0.69751,0.36086,1.79261,1.01369,1.22511,0.009406,0.009406,0.009406
5,2457.5,1.38485,0.79838,1.25379,0.72149,0.6754,0.70252,0.3616,1.82678,0.97587,1.24523,0.009208,0.009208,0.009208
6,4934.63,1.34199,0.75104,1.23229,0.7419,0.68522,0.72185,0.37566,1.78886,0.96244,1.21611,0.00901,0.00901,0.00901
7,2488.13,1.29025,0.69789,1.20449,0.75054,0.69355,0.71577,0.37834,1.77289,0.93723,1.21849,0.008812,0.008812,0.008812
8,4994.42,1.26974,0.67648,1.1934,0.75106,0.70605,0.73304,0.38725,1.76752,0.94373,1.20052,0.008614,0.008614,0.008614
9,7494.67,1.28327,0.68208,1.19949,0.75572,0.72181,0.73748,0.39388,1.76018,0.90314,1.199,0.008416,0.008416,0.008416
10,9994.63,1.25793,0.65807,1.18799,0.76369,0.72277,0.73892,0.39561,1.76331,0.89045,1.20014,0.008218,0.008218,0.008218
